path,label,class_name
color/Apple___Black_rot/d6a4afb8-a539-4851-b29f-2469a48d8591___JR_FrgE.S 8772.JPG,1,Apple___Black_rot
color/Apple___Cedar_apple_rust/04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/27d7abba-647b-4f0c-aa4a-3978dccd4f5b___FREC_C.Rust 4092.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/2dd8a8e6-8774-49a9-a712-9fa6b9ef21f3___FREC_C.Rust 3594.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/3fe25d8e-4497-49bd-b4e0-9c7dd3c3c6cd___FREC_C.Rust 9960.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/43850a33-b2c2-4d67-aa90-685f8f76da3a___FREC_C.Rust 3664.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/4e469367-da28-4b4b-a06e-18d64f0433bc___FREC_C.Rust 4014.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/6ddafe85-27e6-4ca2-915f-2db6015cdf29___FREC_C.Rust 3983.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/b83383d6-f476-412f-b8b8-6965a795ef7b___FREC_C.Rust 3541.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/e4b8b876-3bfa-4e82-bb17-92293b4b5be8___FREC_C.Rust 4170.JPG,2,Apple___Cedar_apple_rust
color/Apple___Cedar_apple_rust/edf726ff-0eff-46a5-90d3-23badf249c46___FREC_C.Rust 9972.JPG,2,Apple___Cedar_apple_rust
color/Apple___healthy/1c2b0674-384b-4cad-8704-80781a89d78a___RS_HL 5848.JPG,3,Apple___healthy
color/Apple___healthy/52cf2701-f319-4b3e-b6fb-8071f2f09ca9___RS_HL 8191.JPG,3,Apple___healthy
color/Apple___healthy/57113348-f0fa-49d9-9d53-46edc4ae7bdb___RS_HL 6215.JPG,3,Apple___healthy
color/Apple___healthy/5ee4cb1c-d933-4e89-b364-9b740b48e077___RS_HL 6224.JPG,3,Apple___healthy
color/Apple___healthy/9e5f1beb-8245-4775-8298-4cb787b3f897___RS_HL 5854.JPG,3,Apple___healthy
color/Apple___healthy/ad7674f8-ff0c-43f8-9bb7-1c347ba197fe___RS_HL 7812.JPG,3,Apple___healthy
color/Apple___healthy/af413561-59ca-4d3a-9e7d-34711b946db4___RS_HL 6298.JPG,3,Apple___healthy
color/Apple___healthy/dbe783c1-f25b-4c7b-9151-4f4abab0ec31___RS_HL 5701.JPG,3,Apple___healthy
color/Apple___healthy/e2799f4e-65ba-4f57-aa7d-9ac6cfa6c300___RS_HL 6265.JPG,3,Apple___healthy
color/Apple___healthy/ee93a9cb-b4e5-4ad6-874b-caff1370f5bd___RS_HL 8142.JPG,3,Apple___healthy
color/Blueberry___healthy/1de225bb-459c-47f5-8fc8-f2ac861e9a41___RS_HL 5054.JPG,4,Blueberry___healthy
color/Blueberry___healthy/270f5027-2a51-4fa2-b17a-73b72b6683ba___RS_HL 0600.JPG,4,Blueberry___healthy
color/Blueberry___healthy/454e845a-6d34-46de-9b6a-2e0f9ee722bd___RS_HL 2516.JPG,4,Blueberry___healthy
color/Blueberry___healthy/5e86e080-dfc5-4ae7-b1d8-7a4d5b281ddf___RS_HL 4984.JPG,4,Blueberry___healthy
color/Blueberry___healthy/7764007d-f36f-4c08-8a85-2fdc982a603e___RS_HL 5329.JPG,4,Blueberry___healthy
color/Blueberry___healthy/97983f41-504d-42f2-ad5d-06fae1f90955___RS_HL 5483.JPG,4,Blueberry___healthy
color/Blueberry___healthy/9d9bcf84-edd8-40b3-9b48-bacb38e38a90___RS_HL 0701.JPG,4,Blueberry___healthy
color/Blueberry___healthy/b32d81b2-1af0-4455-a493-f22019488da2___RS_HL 5128.JPG,4,Blueberry___healthy
color/Blueberry___healthy/daa9d318-2105-4029-8900-4483c1fcd3bd___RS_HL 5265.JPG,4,Blueberry___healthy
color/Blueberry___healthy/ee402ac1-e0aa-41f0-8c40-e9e14efcc7d5___RS_HL 0328.JPG,4,Blueberry___healthy
color/Cherry_(including_sour)___Powdery_mildew/00705aa7-5ea2-4419-9440-8ba65e108eb9___FREC_Pwd.M 0267.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/10729db2-3c76-406c-921a-90efaac37016___FREC_Pwd.M 0293.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/1a6892ee-0f34-475b-b11b-5fc26de6b6d6___FREC_Pwd.M 5041.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/20eb5eb7-f33c-4e22-bb64-41656c02f1ae___FREC_Pwd.M 4986.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/30ba2ad1-d339-44c8-a41f-5798b867600a___FREC_Pwd.M 5020.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/a9235bc4-a3f3-4b9e-8e28-d7b2e18bca51___FREC_Pwd.M 0462.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/ad7637de-7c1f-4ec7-a3d6-14032337a6c3___FREC_Pwd.M 5163.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/cd4b605b-2ca6-4a6c-8c32-9115ec106c1d___FREC_Pwd.M 5017.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/cd8572da-75c4-4388-a20b-25c136aee122___FREC_Pwd.M 0476.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___Powdery_mildew/ce5efd4e-f2cb-47ac-9544-69291614286d___FREC_Pwd.M 5073.JPG,5,Cherry_(including_sour)___Powdery_mildew
color/Cherry_(including_sour)___healthy/050b598c-9105-4838-8996-101568d6941e___JR_HL 9732.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/1d981f31-74e1-4903-9e08-0475f632a5e3___JR_HL 9458.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/263c668e-176b-4e17-8065-37083fb8607b___JR_HL 4146.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/385e8ead-27ad-4c17-a553-5a55788936d3___JR_HL 9889.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/6a08468a-7a0a-4bfb-8817-12c98be1f4ec___JR_HL 4036.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/6b48e9d2-23b5-4fed-8f93-f4ca90ffb34d___JR_HL 9612.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/705108ce-01cc-4bf5-b92b-bdd4dfd3cabd___JR_HL 4001.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/8c2ca351-4aeb-4da9-9e5b-8905509cf148___JR_HL 9683.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/a0816ba7-dc4a-432a-85fc-79d2aa1b8f96___JR_HL 4047.JPG,6,Cherry_(including_sour)___healthy
color/Cherry_(including_sour)___healthy/a4e6ad37-83aa-4eec-ad15-339ba1cd9b70___JR_HL 9484.JPG,6,Cherry_(including_sour)___healthy
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/137762d7-fcd5-405c-a4d5-4096321951d0___RS_GLSp 9345.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/398cdfcf-3bc5-486c-ab4e-8bce2f2bbc23___RS_GLSp 9333.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/52acf240-2625-4b4c-8484-6c93e998b115___RS_GLSp 7337.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/5dcd9141-4aaf-41c7-94a5-0af587f0a58c___RS_GLSp 4391.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/648f5a4f-9fb5-486f-97ac-918c5804ab53___RS_GLSp 4370.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/81a4c5ce-8c96-43e6-8391-415465688419___RS_GLSp 9274.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/910679a5-f18d-40ac-a00e-9e2c27a45610___RS_GLSp 9327.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/a0061e48-b26c-4610-933a-b4f4ce341707___RS_GLSp 7333.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/b3a3ae35-860d-4d65-af43-faa13c3d2834___RS_GLSp 9272.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/ef0479e0-c62b-4a8f-a5c6-1957d0a77c8f___RS_GLSp 4396.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
color/Corn_(maize)___Common_rust_/RS_Rust 1660.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 1816.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 1981.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2060.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2118.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2233.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2278.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2407.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2495.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Common_rust_/RS_Rust 2753.JPG,8,Corn_(maize)___Common_rust_
color/Corn_(maize)___Northern_Leaf_Blight/1a367958-51c4-4ebf-86ae-d6a5dc7e1114___RS_NLB 0770.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/29955528-2271-4b76-9ca9-99a48405f40e___RS_NLB 3603.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/6728afe3-9ab4-4235-b7e3-5b9ee80b6675___RS_NLB 3605.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/787cbc30-5598-46f4-b757-a9d65f0d5803___RS_NLB 3972.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/9e657ac4-0de6-4ba4-b10c-49a5e8a1fa4d___RS_NLB 4174.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/a3e748ad-0428-4758-8fdd-8887432b9724___RS_NLB 3864.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/acfc653f-44e2-41f6-85cd-3595a6fd7455___RS_NLB 3840.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/b3e502f1-8ab4-4591-938d-35774dcd5fbc___RS_NLB 3962 copy 2.jpg,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/ddd3bb1b-ef88-4426-a7bb-2b61422df6e2___RS_NLB 4057 copy3.jpg,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___Northern_Leaf_Blight/ebb837be-867e-417a-8a0a-04fd3f0570ba___RS_NLB 4087.JPG,9,Corn_(maize)___Northern_Leaf_Blight
color/Corn_(maize)___healthy/184d5681-6ec2-448b-8474-f7392faec235___R.S_HL 7975 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/21f7da6b-c22e-4f1a-9a22-39aaaa6cc38a___R.S_HL 5551 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/44f2a3c4-6e69-40d8-9aec-ba79a37a767d___R.S_HL 5529 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/48296a13-4359-4df3-b19d-d457c14721ba___R.S_HL 8157 copy 2.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/9fd2b7a7-1ac4-4e6e-9c6a-34bacd208df2___R.S_HL 8341 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/a3682b13-aca2-47d1-8e75-d7640e97af0a___R.S_HL 8006 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/adde8d22-15d9-42a5-a75d-6befa661ff4d___R.S_HL 8012 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/e6f7d1d1-3233-472b-bc11-597eeb02a120___R.S_HL 0596 copy 3.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/ef21bc27-7f69-4eba-87e2-6b1f348cc846___R.S_HL 8279 copy.jpg,10,Corn_(maize)___healthy
color/Corn_(maize)___healthy/f8f42808-dfeb-4d02-9a92-cdb138ad28b5___R.S_HL 7988 copy.jpg,10,Corn_(maize)___healthy
color/Grape___Black_rot/1ccd890e-9e06-44cf-8495-8f229e7bb89b___FAM_B.Rot 3614.JPG,11,Grape___Black_rot
color/Grape___Black_rot/1d482244-3c8c-40fa-8a40-a0ad06ae1e7b___FAM_B.Rot 5100.JPG,11,Grape___Black_rot
color/Grape___Black_rot/416b800e-ab38-4fa1-8de8-54768869dd1d___FAM_B.Rot 3313.JPG,11,Grape___Black_rot
color/Grape___Black_rot/48b865b5-e7c6-45f1-994a-b2b1adc2cff5___FAM_B.Rot 3379.JPG,11,Grape___Black_rot
color/Grape___Black_rot/61fff4d4-7012-4171-bfed-5ca53f55abdb___FAM_B.Rot 0352.JPG,11,Grape___Black_rot
color/Grape___Black_rot/68083fb3-c433-43d8-a509-7435803558fc___FAM_B.Rot 3185.JPG,11,Grape___Black_rot
color/Grape___Black_rot/a5b05492-d59b-41ad-9fc5-0d383bf3d51a___FAM_B.Rot 0734.JPG,11,Grape___Black_rot
color/Grape___Black_rot/af11a589-7f6f-4460-80ab-d911e09e3854___FAM_B.Rot 0701.JPG,11,Grape___Black_rot
color/Grape___Black_rot/b43c8a3c-8b2b-44b4-9f42-cf7033a0873b___FAM_B.Rot 3056.JPG,11,Grape___Black_rot
color/Grape___Black_rot/f5305b02-0f2c-44a4-a572-69a00304687b___FAM_B.Rot 0714.JPG,11,Grape___Black_rot
color/Grape___Esca_(Black_Measles)/019afd88-6645-44c4-a5d2-bd583b877a50___FAM_B.Msls 1744.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/27336e68-c6e0-4546-9a21-723f04f0aed7___FAM_B.Msls 1351.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/5d4e73de-dec1-4b86-bf84-30d4389a14ce___FAM_B.Msls 0836.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/5d6ab00e-8d19-464e-b8fa-720307aebff0___FAM_B.Msls 0855.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/68c494f0-3238-4210-96c2-cec0c87ad150___FAM_B.Msls 4492.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/6fba0907-14aa-44d4-96ac-6a40ef299939___FAM_B.Msls 4026.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/9d93be0b-7679-48cd-ba9f-aea60ccb2f86___FAM_B.Msls 0906.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/ac7c985b-e1bb-48ec-970e-abe18934141a___FAM_B.Msls 4298.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/afca0404-11b1-4b5f-8e10-92d578903ef4___FAM_B.Msls 1119.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Esca_(Black_Measles)/c20579bd-2605-4607-85e4-1db4efc53f1f___FAM_B.Msls 4096.JPG,12,Grape___Esca_(Black_Measles)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/1c06dffd-9263-4da5-85a0-01f5a32db1a6___FAM_L.Blight 3679.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/338dd61a-290b-43e4-9f7d-022bd918aa58___FAM_L.Blight 4949.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/3811882d-86ff-4273-b036-4a3d7a9d502a___FAM_L.Blight 4944.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/398a958e-6dbb-43e3-aea5-27b9982e9fe4___FAM_L.Blight 4864.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/541f3b53-c19f-4226-858b-614bc11c9749___FAM_L.Blight 4916.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/598bae53-ccaf-478c-b593-e96b6c0591fd___FAM_L.Blight 1570.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/746bd127-28d3-4392-86bb-0bbc9db50478___FAM_L.Blight 4558.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/b2782d03-fed9-4964-bb41-aeb868271624___FAM_L.Blight 1602.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/bb7ff2bc-e51e-4ba4-bdd0-569aa0948d0f___FAM_L.Blight 4763.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/c8dfc587-128e-4e81-a03d-31e408b7b2ad___FAM_L.Blight 4517.JPG,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
color/Grape___healthy/03492a0d-6ad7-42ec-a742-c2f1fa59499a___Mt.N.V_HL 6035.JPG,14,Grape___healthy
color/Grape___healthy/1abe34b9-186b-4a90-a3a3-855005ff50f5___Mt.N.V_HL 9033.JPG,14,Grape___healthy
color/Grape___healthy/2c4e117b-0a0f-43d0-93b5-88b2e77d272a___Mt.N.V_HL 6151.JPG,14,Grape___healthy
color/Grape___healthy/3220429c-841d-4267-90d5-1a23d658d068___Mt.N.V_HL 8919.JPG,14,Grape___healthy
color/Grape___healthy/603a6e76-4457-4ac2-a549-1560c7c1cf30___Mt.N.V_HL 9065.JPG,14,Grape___healthy
color/Grape___healthy/6dc550f9-1939-4184-8efd-4afd6508ae3c___Mt.N.V_HL 9026.JPG,14,Grape___healthy
color/Grape___healthy/87c9d8e2-3009-4e40-9db4-8fe35ab76599___Mt.N.V_HL 6058.JPG,14,Grape___healthy
color/Grape___healthy/8af21b75-7158-4286-acdf-ef35cf54fe26___Mt.N.V_HL 6116.JPG,14,Grape___healthy
color/Grape___healthy/8b8654fb-cbc0-4761-9d86-1982c9fe1609___Mt.N.V_HL 8962.JPG,14,Grape___healthy
color/Grape___healthy/d5fe4316-44da-4fd9-a608-75908ad76862___Mt.N.V_HL 6143.JPG,14,Grape___healthy
color/Orange___Haunglongbing_(Citrus_greening)/2400d1a1-ff98-40e4-ab16-28f91621cac9___CREC_HLB 7879.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/41945925-c16b-41d1-8190-f39cca86b463___CREC_HLB 6687.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/4efeabb7-f487-4234-8237-ea73e71e20cb___CREC_HLB 7493.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/73cf31b8-47bb-483e-ba8d-51e5cf47d636___CREC_HLB 7595.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/82c8ab12-507d-4cdd-b135-eb38035012b5___CREC_HLB 5693.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/854b7be2-8fcf-4ae3-b0f6-bed99a25adc3___UF.Citrus_HLB_Lab 0527.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/89b06494-a7ca-4aa5-9c03-cf91d48c767c___UF.Citrus_HLB_Lab 0874.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/c41054d6-3723-4894-a529-2b00517acaad___UF.Citrus_HLB_Lab 1271.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/e9e86ef7-bd4e-4595-a333-6ff5c8524314___CREC_HLB 7545.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Orange___Haunglongbing_(Citrus_greening)/ef54dcce-1e1d-42e2-87bc-63b7d465066c___UF.Citrus_HLB_Lab 0822.JPG,15,Orange___Haunglongbing_(Citrus_greening)
color/Peach___Bacterial_spot/1ce95fc0-f6dc-4097-baf3-9a0ae9a187a7___Rut._Bact.S 1546.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/2224b5a9-7aed-4800-a1f6-5372205c4007___Rutg._Bact.S 1950.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/248e44ab-7b89-49ec-959b-d863b499f033___Rutg._Bact.S 2162.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/4bb77a53-989d-4ed6-a533-102414fe28a8___Rut._Bact.S 1117.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/4ffcd86b-b12a-49ec-8db7-af50ff2987e5___Rutg._Bact.S 1389.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/525b30f6-6680-4b00-8b78-e0b0ed6be12c___Rutg._Bact.S 1314.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/8a3977c3-f738-4bff-ac10-0ffd20be5dfa___Rut._Bact.S 1272.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/8f8e4075-b775-441a-acac-c230b781088e___Rutg._Bact.S 1285.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/abd56cde-5ff8-49b2-89b5-afcb071ddda4___Rut._Bact.S 0867.JPG,16,Peach___Bacterial_spot
color/Peach___Bacterial_spot/ac94949a-32b1-427d-acb1-cb459c8b8d45___Rutg._Bact.S 1347.JPG,16,Peach___Bacterial_spot
color/Peach___healthy/06fdeacf-ac44-4af3-9541-25c77806b8e1___Rutg._HL 3549.JPG,17,Peach___healthy
color/Peach___healthy/0a4795b0-5144-4dea-a7ed-b6243416e8d0___Rutg._HL 3530.JPG,17,Peach___healthy
color/Peach___healthy/19baaa3d-d7ee-4806-a3a8-fa8164252be0___Rutg._HL 3635.JPG,17,Peach___healthy
color/Peach___healthy/2eb97962-8ff4-43a9-84f7-3e67768963d9___Rutg._HL 3696.JPG,17,Peach___healthy
color/Peach___healthy/3c8a7113-9e2a-4925-84c0-7c0991e4aae1___Rutg._HL 3749.JPG,17,Peach___healthy
color/Peach___healthy/40ce83b6-18b2-4f97-9f01-f151e5bef4dc___Rutg._HL 3555.JPG,17,Peach___healthy
color/Peach___healthy/814d98ab-0c6e-493b-ad41-c7e108ddc851___Rutg._HL 2481.JPG,17,Peach___healthy
color/Peach___healthy/abe034fc-a97d-4726-9d7c-13eff2ebce17___Rutg._HL 3683.JPG,17,Peach___healthy
color/Peach___healthy/b3e112e1-5168-46b3-9e6b-80f8981f82b2___Rutg._HL 3545.JPG,17,Peach___healthy
color/Peach___healthy/e1ed1265-dbbe-4158-a7d6-386cdbc23bac___Rutg._HL 3657.JPG,17,Peach___healthy
"color/Pepper,_bell___Bacterial_spot/080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot 1872.JPG",18,"Pepper,_bell___Bacterial_spot"
