test_path,test_label,test_class,nearest_train_path,nearest_train_label,hamming_distance,is_near_duplicate
color/Cherry_(including_sour)___healthy/a0816ba7-dc4a-432a-85fc-79d2aa1b8f96___JR_HL 4047.JPG,6,Cherry_(including_sour)___healthy,color/Soybean___healthy/e0f9d06d-375d-4bb0-aec5-f25c2c2505b7___RS_HL 4766.JPG,24,4,True
color/Cherry_(including_sour)___healthy/ea6eb22e-337b-4f6e-b18f-6e5633e97571___JR_HL 9741.JPG,6,Cherry_(including_sour)___healthy,color/Cherry_(including_sour)___healthy/9711cd2a-25f1-4e08-bb70-b5443d2ed94e___JR_HL 9432.JPG,6,4,True
color/Corn_(maize)___healthy/94ca39a0-d4df-44c6-b5cc-a38a754506e5___R.S_HL 0601 copy 3.jpg,10,Corn_(maize)___healthy,color/Corn_(maize)___healthy/8afc9635-c5e3-41be-aac0-74109d6112ed___R.S_HL 0601 copy 2.jpg,10,0,True
color/Grape___healthy/28c615fe-bb32-4003-9178-1f130c84c0a3___Mt.N.V_HL 9129.JPG,14,Grape___healthy,color/Grape___healthy/0c1667a2-61d7-4dee-b4d9-0d141a1ceb20___Mt.N.V_HL 9127.JPG,14,2,True
color/Orange___Haunglongbing_(Citrus_greening)/11bdfcfd-efbc-48d1-9623-e3a91da5a3d5___UF.Citrus_HLB_Lab 1216.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/6de27421-3bfe-49b7-a21f-1a50caf7a1dc___UF.Citrus_HLB_Lab 1217.JPG,15,2,True
color/Orange___Haunglongbing_(Citrus_greening)/2594eb49-8ace-4ced-976c-279f589c85eb___UF.Citrus_HLB_Lab 9709.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/c8105c9a-6dd6-4bef-a490-59ca546a6d7a___UF.Citrus_HLB_Lab 9638.JPG,15,2,True
color/Orange___Haunglongbing_(Citrus_greening)/30ddc8d8-338f-47de-a127-4c6d5aa0aec6___UF.Citrus_HLB_Lab 0550.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/951dc1ee-39bf-44cc-83af-76a3e75498d4___UF.Citrus_HLB_Lab 0538.JPG,15,4,True
color/Orange___Haunglongbing_(Citrus_greening)/3a01cf46-8473-4aca-a46b-8934b84610cd___CREC_HLB 7278.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Potato___Late_blight/cd38f533-9b7d-4afd-bbd9-9ee5ab2aa3e8___RS_LB 2680.JPG,21,4,True
color/Orange___Haunglongbing_(Citrus_greening)/3f3e2a96-409e-4190-ab4f-4fa47a528d80___UF.Citrus_HLB_Lab 0980.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/7dbdb991-c516-436e-80df-d03bff3f8a31___UF.Citrus_HLB_Lab 1516.JPG,15,4,True
color/Orange___Haunglongbing_(Citrus_greening)/6fa5e8e9-e702-4888-9d0a-340d4c0c4989___UF.Citrus_HLB_Lab 0548.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/a4fccae9-4f8b-4d22-903d-c9aae259ae68___UF.Citrus_HLB_Lab 1530.JPG,15,4,True
color/Orange___Haunglongbing_(Citrus_greening)/7a27f2e0-7c4e-4e1e-9a0f-152f0d141576___CREC_HLB 5580.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Soybean___healthy/68a8ee0c-4adb-480e-8574-ad997c0cb571___RS_HL 5383.JPG,24,4,True
color/Orange___Haunglongbing_(Citrus_greening)/80305359-22cf-41bb-8641-c2dad345039b___CREC_HLB 5045.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/ef9142a7-a600-4541-a533-0d7069414c8f___CREC_HLB 5338.JPG,15,4,True
color/Orange___Haunglongbing_(Citrus_greening)/8e69171e-28af-4be5-901e-3f697e75cc8b___UF.Citrus_HLB_Lab 0301.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/03c5b0f0-ca80-44e3-af4e-584688b4dea8___UF.Citrus_HLB_Lab 0313.JPG,15,4,True
color/Orange___Haunglongbing_(Citrus_greening)/a46a039e-e655-4c48-9627-a5ed9f218203___UF.Citrus_HLB_Lab 1625.JPG,15,Orange___Haunglongbing_(Citrus_greening),color/Orange___Haunglongbing_(Citrus_greening)/5e320f37-ba7c-49e7-9668-c7fa61f267da___UF.Citrus_HLB_Lab 1626.JPG,15,2,True
"color/Pepper,_bell___Bacterial_spot/435993b8-c7f7-47fd-85ad-bdb04ab3e8bb___JR_B.Spot 8976.JPG",18,"Pepper,_bell___Bacterial_spot","color/Pepper,_bell___healthy/4d525b16-48dc-40af-9721-024f002d5929___JR_HL 5970.JPG",19,4,True
"color/Pepper,_bell___healthy/035746b5-cbe6-4e5d-9c3a-4bfc5c6cf5a1___JR_HL 7728.JPG",19,"Pepper,_bell___healthy",color/Soybean___healthy/f9cb2f36-523d-4061-94e3-0b385f77c1ac___RS_HL 2715.JPG,24,4,True
"color/Pepper,_bell___healthy/49b4fd49-ffc0-40c3-ad76-452b933d58c7___JR_HL 8267.JPG",19,"Pepper,_bell___healthy","color/Pepper,_bell___healthy/b39dd01c-b297-4d3f-ad79-c06a488a99cd___JR_HL 8268.JPG",19,4,True
"color/Pepper,_bell___healthy/9e17a7df-6284-467f-b223-33b0d06d0a81___JR_HL 5973.JPG",19,"Pepper,_bell___healthy",color/Soybean___healthy/16248d15-e455-46ac-8924-4905312549dd___RS_HL 4244.JPG,24,4,True
"color/Pepper,_bell___healthy/9ec19588-69dc-438b-b257-7a987ff403e2___JR_HL 8621.JPG",19,"Pepper,_bell___healthy","color/Pepper,_bell___healthy/ca1c9cb1-75e6-4937-85ec-814aaac3bc32___JR_HL 8620.JPG",19,4,True
"color/Pepper,_bell___healthy/cfbbeb79-9aba-4011-ba99-470509286459___JR_HL 5826.JPG",19,"Pepper,_bell___healthy",color/Soybean___healthy/1b951855-b456-4f7c-b0b1-cf663d047929___RS_HL 5482.JPG,24,4,True
"color/Pepper,_bell___healthy/db39cf0e-cfe0-49d1-a5ed-5d69faa26507___JR_HL 8756.JPG",19,"Pepper,_bell___healthy",color/Raspberry___healthy/bc42d851-1621-47ab-ad98-f410a474b4ca___Mary_HL 6218.JPG,23,4,True
"color/Pepper,_bell___healthy/f47373b3-ed1e-42b0-988b-b2724cc89782___JR_HL 5903.JPG",19,"Pepper,_bell___healthy",color/Soybean___healthy/c20faf5e-7487-4a7f-9579-767b9ade0164___RS_HL 4232.JPG,24,4,True
"color/Pepper,_bell___healthy/fb974d64-1b7a-4d68-8ddb-1b8ed3011f25___JR_HL 5899.JPG",19,"Pepper,_bell___healthy",color/Soybean___healthy/1f770cd9-0e55-48e7-93e5-a93144b85f1e___RS_HL 3663.JPG,24,4,True
color/Potato___Late_blight/29bfc55a-8cb2-4938-b0b5-5e2748fd1a22___RS_LB 5070.JPG,21,Potato___Late_blight,color/Soybean___healthy/680847f2-f758-46bf-a08b-63179198eae8___RS_HL 6789.JPG,24,4,True
color/Raspberry___healthy/06959ec3-a76b-4968-b64b-ad874b958fc7___Mary_HL 6323.JPG,23,Raspberry___healthy,color/Soybean___healthy/c6407954-3412-456c-abec-6af975921f3d___RS_HL 4964.JPG,24,4,True
color/Raspberry___healthy/59305710-b9c7-4482-afff-1b3446f351c7___Mary_HL 9338.JPG,23,Raspberry___healthy,color/Raspberry___healthy/f942155e-54d8-4724-a509-92745205d414___Mary_HL 9345.JPG,23,4,True
color/Raspberry___healthy/599c43e6-e742-4bc6-92a1-a1ebe4fa820a___Mary_HL 9158.JPG,23,Raspberry___healthy,color/Raspberry___healthy/dbaa5f62-187f-422b-ac84-12c6e7b12025___Mary_HL 9164.JPG,23,4,True
color/Raspberry___healthy/895bd284-30aa-4d2b-a5a8-1a021fd4e96f___Mary_HL 6328.JPG,23,Raspberry___healthy,color/Soybean___healthy/84e457cc-02e8-45f2-be2d-5e412315ade8___RS_HL 5476.JPG,24,4,True
color/Raspberry___healthy/9d5f3e6c-3f4c-4882-b423-d9ddb52ea4d8___Mary_HL 6332.JPG,23,Raspberry___healthy,color/Soybean___healthy/16248d15-e455-46ac-8924-4905312549dd___RS_HL 4244.JPG,24,4,True
color/Raspberry___healthy/ae5a17be-bbf6-47dd-a04d-7fdaa7703a74___Mary_HL 9324.JPG,23,Raspberry___healthy,color/Raspberry___healthy/6c23e00e-1d59-4958-9eba-91023e6ddaed___Mary_HL 9325.JPG,23,4,True
color/Raspberry___healthy/b00a6846-c092-4461-8b52-da94e81d960d___Mary_HL 9266.JPG,23,Raspberry___healthy,color/Raspberry___healthy/11eb28ed-0d05-46c9-a2a8-e325d8bf2b38___Mary_HL 9265.JPG,23,4,True
color/Raspberry___healthy/fc261eca-1110-4cd3-ae1b-a969680c9550___Mary_HL 6379.JPG,23,Raspberry___healthy,color/Soybean___healthy/be83942e-ce05-42ad-8e87-ff3c85b53f33___RS_HL 5442.JPG,24,4,True
color/Soybean___healthy/018c61ed-c8cd-4e0c-b0e1-4f2531eeed6b___RS_HL 2880.JPG,24,Soybean___healthy,color/Soybean___healthy/2d457a27-71d9-4b38-ba4f-36b1a88bf755___RS_HL 5461.JPG,24,4,True
color/Soybean___healthy/018c9b04-ff44-4fb2-b83f-cacd62198ed4___RS_HL 5408.JPG,24,Soybean___healthy,color/Soybean___healthy/c27e227c-ce19-40af-8edb-d40f5f73c725___RS_HL 5424.JPG,24,4,True
color/Soybean___healthy/0231ac76-7dd9-4346-945e-fdfcebdaefe0___RS_HL 5779 1.JPG,24,Soybean___healthy,color/Soybean___healthy/68947ab4-60ac-4261-b1c9-42644c8a78d5___RS_HL 4193.JPG,24,4,True
color/Soybean___healthy/0275c314-9a57-4ea9-8405-029c55d0df7c___RS_HL 3820.JPG,24,Soybean___healthy,color/Soybean___healthy/432221ce-2545-4d1f-b3e2-a19440c3ffeb___RS_HL 7037.JPG,24,4,True
color/Soybean___healthy/058d647e-b0e3-4a26-8fa5-21f5357909e4___RS_HL 5302.JPG,24,Soybean___healthy,color/Raspberry___healthy/1b2fb65b-bfe9-43dc-940a-50a32b9a421f___Mary_HL 6317.JPG,23,4,True
color/Soybean___healthy/05daad89-038d-4766-bbfd-0f74afb0147a___RS_HL 6317.JPG,24,Soybean___healthy,color/Soybean___healthy/2bf1a7ed-f82a-4906-a2a7-4b8d6e813300___RS_HL 6319.JPG,24,4,True
color/Soybean___healthy/05ef443c-075a-4f36-aa2a-02de3dece6d0___RS_HL 6739.JPG,24,Soybean___healthy,color/Soybean___healthy/1d498862-7123-485e-aa6e-392f08232f6d___RS_HL 6738.JPG,24,4,True
color/Soybean___healthy/066af85e-bd60-466e-ac80-e0b0ace2307e___RS_HL 5067.JPG,24,Soybean___healthy,color/Soybean___healthy/07186037-2aac-496e-8396-3a9967a7fdea___RS_HL 4283.JPG,24,4,True
color/Soybean___healthy/09273d3a-d9a2-4983-93ba-6aa9d9b14bca___RS_HL 5131.JPG,24,Soybean___healthy,color/Orange___Haunglongbing_(Citrus_greening)/e5e2cdea-35bb-4833-a48a-88bfdf0e9ab0___CREC_HLB 7571.JPG,15,4,True
color/Soybean___healthy/0e13f0ee-3fe9-47ae-92cb-12605c1b593b___RS_HL 4978.JPG,24,Soybean___healthy,color/Soybean___healthy/49927895-f02b-467a-871f-48497291c25a___RS_HL 5422.JPG,24,4,True
color/Soybean___healthy/1982dfb8-1145-4039-8ec6-0df04fa95030___RS_HL 7199.JPG,24,Soybean___healthy,color/Soybean___healthy/935369be-b082-4836-ba97-81f5f8e274b9___RS_HL 4247.JPG,24,4,True
color/Soybean___healthy/1a8ac70a-9677-40cb-a59c-cebfa116bb9a___RS_HL 6725.JPG,24,Soybean___healthy,color/Soybean___healthy/228550a8-b0bd-412b-800a-7ec9a742d2a8___RS_HL 6727.JPG,24,4,True
color/Soybean___healthy/1ac05df6-a101-40df-a0c2-3bac86c3d481___RS_HL 3822.JPG,24,Soybean___healthy,color/Soybean___healthy/56778478-41a1-41d3-8fff-828c5055b0dd___RS_HL 5680 1.JPG,24,4,True
color/Soybean___healthy/1ea1c1e2-fd7b-4fb5-9783-75eb882413a4___RS_HL 3389.JPG,24,Soybean___healthy,color/Soybean___healthy/23770740-36a5-4fcf-8a43-4cf9699a7205___RS_HL 6602.JPG,24,4,True
color/Soybean___healthy/1edd94a0-0f9d-4bdb-b083-78dfc250a54f___RS_HL 4630.JPG,24,Soybean___healthy,color/Soybean___healthy/44e0444a-430e-4f81-8455-eb3bda08356e___RS_HL 4665.JPG,24,4,True
color/Soybean___healthy/1f437b37-c648-45f3-a5f8-323cbb5bde35___RS_HL 7166.JPG,24,Soybean___healthy,color/Soybean___healthy/0f04ef1e-2a20-4986-9530-40707c70b708___RS_HL 7145.JPG,24,4,True
color/Soybean___healthy/23c541f5-e1f9-45a4-9e05-4a4ed0609b60___RS_HL 4832.JPG,24,Soybean___healthy,color/Soybean___healthy/66470940-d138-4a1c-8c96-0fcd0b6a6f7f___RS_HL 6346.JPG,24,2,True
color/Soybean___healthy/24610168-0f07-40e0-8a0a-9c62829aa774___RS_HL 4587.JPG,24,Soybean___healthy,color/Soybean___healthy/93def263-06bf-404d-bdc6-2f4f4965067e___RS_HL 4365.JPG,24,4,True
color/Soybean___healthy/29040ffb-9de2-4d78-b5c7-ecb504c4805f___RS_HL 4536.JPG,24,Soybean___healthy,color/Soybean___healthy/969b3f38-922e-4d4c-86b8-e4390d418649___RS_HL 3013.JPG,24,4,True
color/Soybean___healthy/2eca2419-df11-4533-ada7-f1eab3d83cba___RS_HL 3359.JPG,24,Soybean___healthy,color/Tomato___Target_Spot/371b7ff8-6031-437b-b0c5-5fc10e2317d1___Com.G_TgS_FL 9944.JPG,34,4,True
color/Soybean___healthy/2f0e30c3-e2fc-4108-bb9a-c0ac42b4bb9a___RS_HL 4551.JPG,24,Soybean___healthy,color/Soybean___healthy/7adac6f5-49f5-4cda-8425-e15d7d821b88___RS_HL 4395.JPG,24,4,True
color/Soybean___healthy/2f7a95bf-abd1-4589-bff9-84fa23297705___RS_HL 4730.JPG,24,Soybean___healthy,color/Orange___Haunglongbing_(Citrus_greening)/1018497f-4630-4491-88d2-666d45d37647___CREC_HLB 5268.JPG,15,4,True
color/Soybean___healthy/30f986b6-87e6-4a0b-8586-19b29e059c4b___RS_HL 3665.JPG,24,Soybean___healthy,color/Soybean___healthy/e71304ae-821c-4a2c-8d5c-024e80141720___RS_HL 3486.JPG,24,4,True
color/Soybean___healthy/3256eb2c-061d-48b8-b7df-5939eff8a590___RS_HL 3926.JPG,24,Soybean___healthy,color/Soybean___healthy/efe605a5-b2ee-4a8f-9a3c-f0f20a6637bf___RS_HL 4563.JPG,24,4,True
color/Soybean___healthy/33593194-35ad-45d1-bc89-d56a6b1151b1___RS_HL 3896.JPG,24,Soybean___healthy,color/Soybean___healthy/756244a1-64a2-4ced-a034-921fc52a9d4e___RS_HL 4411.JPG,24,4,True
color/Soybean___healthy/340046c3-ce86-4802-8e6d-4faf88d0d77b___RS_HL 4050.JPG,24,Soybean___healthy,color/Soybean___healthy/d0816456-9583-4738-904b-fc696ea0a4ca___RS_HL 3928.JPG,24,4,True
color/Soybean___healthy/345e8571-d9f1-4654-965d-be2d3052e643___RS_HL 2997.JPG,24,Soybean___healthy,color/Soybean___healthy/89668bf2-b5ff-4b14-9f77-25928240be1a___RS_HL 3070.JPG,24,4,True
color/Soybean___healthy/37aefbb7-8016-4984-95bf-3490280b3f3e___RS_HL 3914.JPG,24,Soybean___healthy,color/Soybean___healthy/099ab0cb-1350-48c4-8134-db73479c3401___RS_HL 3598.JPG,24,4,True
color/Soybean___healthy/3cfa59e5-7f1e-430c-afa3-a2a6438c8a19___RS_HL 6338.JPG,24,Soybean___healthy,color/Soybean___healthy/a99084dd-d6e8-4701-8303-d9a1c9d941f4___RS_HL 6340.JPG,24,4,True
color/Soybean___healthy/3e33f778-45c7-47a7-86b9-909e967cf585___RS_HL 5058.JPG,24,Soybean___healthy,color/Soybean___healthy/c01dec35-4a1c-4c3b-95e9-e2a727978136___RS_HL 5450.JPG,24,2,True
color/Soybean___healthy/423d88db-3db3-4437-b1b0-91c326431d94___RS_HL 4228.JPG,24,Soybean___healthy,color/Soybean___healthy/069aa38e-5d0b-41a9-ad40-a87b943fa209___RS_HL 4335.JPG,24,4,True
color/Soybean___healthy/44f04573-0605-439d-b9e3-90c8651737f8___RS_HL 3524.JPG,24,Soybean___healthy,color/Soybean___healthy/459dcdba-1f87-4c2e-8a01-b0a9785bf284___RS_HL 5657 1.JPG,24,4,True
color/Soybean___healthy/4a421c81-b75e-4ab7-9c4c-ea2d86d8dadf___RS_HL 5840.JPG,24,Soybean___healthy,color/Soybean___healthy/4b204c22-df30-4696-8b83-480ca8965809___RS_HL 5915.JPG,24,4,True
color/Soybean___healthy/5924cb13-ff43-4537-82e8-eeca9943e54c___RS_HL 5514.JPG,24,Soybean___healthy,color/Potato___Early_blight/c47fa8ac-b2a5-4470-bda6-26dec4000409___RS_Early.B 7395.JPG,20,4,True
color/Soybean___healthy/59310dd4-9969-4e9e-aa34-b0e9a239e34a___RS_HL 5706 1.JPG,24,Soybean___healthy,color/Soybean___healthy/11ae9b43-83c6-49e5-af06-98f0e8596803___RS_HL 4518.JPG,24,4,True
color/Soybean___healthy/5d0e6049-14ad-4384-9012-75706e059238___RS_HL 7085.JPG,24,Soybean___healthy,color/Soybean___healthy/6212b418-9d95-462d-a05a-91b88ccfd63e___RS_HL 6919.JPG,24,4,True
color/Soybean___healthy/5d91670d-1d98-4bc0-953f-0cc93332b1e2___RS_HL 5987.JPG,24,Soybean___healthy,color/Soybean___healthy/c1585706-72f3-4fbd-ad20-99cbabb395b4___RS_HL 6482.JPG,24,4,True
color/Soybean___healthy/607d8a03-3519-46ac-8fd9-15b4f1c63eb2___RS_HL 4685.JPG,24,Soybean___healthy,color/Soybean___healthy/f68b8d6d-b1dd-40ff-b341-3f7963ad7281___RS_HL 5553 1.JPG,24,2,True
color/Soybean___healthy/63a5e362-672a-4dee-a673-d9258bb0ab6c___RS_HL 3560.JPG,24,Soybean___healthy,color/Raspberry___healthy/1bc672d8-2546-4f01-9482-a97e0d6cc345___Mary_HL 9303.JPG,23,4,True
color/Soybean___healthy/68ded0f7-2d8e-44c9-a066-d067974caf02___RS_HL 5122.JPG,24,Soybean___healthy,color/Soybean___healthy/dbdd4c29-94e9-4598-be4d-a80690ad1809___RS_HL 4197.JPG,24,4,True
color/Soybean___healthy/6a1a22eb-1290-4b1d-969d-f52bc78cc5a9___RS_HL 7074.JPG,24,Soybean___healthy,color/Soybean___healthy/7f05a83e-4d86-48be-8543-8e087ff86501___RS_HL 5560 1.JPG,24,4,True
color/Soybean___healthy/707074ce-97a4-42b5-b82f-30370a765ca7___RS_HL 6873.JPG,24,Soybean___healthy,color/Soybean___healthy/f4adf8bc-a80a-4f74-96ea-7f8f7d4e04ce___RS_HL 5707 1.JPG,24,4,True
color/Soybean___healthy/75b54f26-5cd5-418b-8c2e-762638c21248___RS_HL 2733.JPG,24,Soybean___healthy,color/Soybean___healthy/efa3c5aa-f516-4dd4-8dba-69bd1f5480c2___RS_HL 3906.JPG,24,4,True
color/Soybean___healthy/78124c72-a0de-4449-b0ce-33f94bc523b1___RS_HL 6707.JPG,24,Soybean___healthy,color/Soybean___healthy/9cdee5aa-2ed5-4637-a331-be99826283b9___RS_HL 6698.JPG,24,4,True
color/Soybean___healthy/8301ef4a-4e67-44db-84a6-50147c7498eb___RS_HL 2887.JPG,24,Soybean___healthy,color/Soybean___healthy/8a9075ee-ed68-48a9-9b09-223fcd0c0b13___RS_HL 4453.JPG,24,4,True
color/Soybean___healthy/83df65e0-72d2-4d4a-9d7d-056dcb8a22aa___RS_HL 6709.JPG,24,Soybean___healthy,color/Soybean___healthy/ed1c954a-2d5f-42aa-bdc3-a644184a326e___RS_HL 6321.JPG,24,4,True
color/Soybean___healthy/8557e416-c01e-4103-bcc5-005c4a36a753___RS_HL 6098.JPG,24,Soybean___healthy,color/Soybean___healthy/aa0b5f1c-fd0b-43e2-b984-ffab983bd685___RS_HL 6088.JPG,24,4,True
color/Soybean___healthy/8807e5ea-3854-4f19-bfa3-99b83f0d7a0f___RS_HL 5035.JPG,24,Soybean___healthy,color/Raspberry___healthy/6c2e049f-38c9-42c5-864f-613e6e12d59e___Mary_HL 6318.JPG,23,2,True
color/Soybean___healthy/89d6848c-4bd8-425a-9988-2b076f596093___RS_HL 3835.JPG,24,Soybean___healthy,color/Soybean___healthy/bc43ac1e-c679-42bc-90c7-b1374b73775a___RS_HL 3666.JPG,24,4,True
color/Soybean___healthy/8cf93314-47e2-4ea6-b161-03e12e957fe5___RS_HL 5601.JPG,24,Soybean___healthy,color/Soybean___healthy/900dd919-0cd2-4fc8-98e7-d414bd1482f9___RS_HL 5604.JPG,24,2,True
color/Soybean___healthy/8d1d02ae-5565-451b-8fce-fb922ad21eea___RS_HL 3355.JPG,24,Soybean___healthy,color/Soybean___healthy/bac89c58-80d8-4b50-b263-7966ab9d90a0___RS_HL 4683.JPG,24,4,True
color/Soybean___healthy/90079800-1e58-4ffa-9dc3-10062656fd53___RS_HL 5569 1.JPG,24,Soybean___healthy,color/Soybean___healthy/d4f02410-2c32-4c58-83dd-b3febe7446ad___RS_HL 5567 1.JPG,24,2,True
color/Soybean___healthy/9285995f-5890-467a-bdd8-2142f329e45d___RS_HL 3623.JPG,24,Soybean___healthy,color/Soybean___healthy/04f0e8b3-fedc-4b17-8655-b8ee371ad23f___RS_HL 2737.JPG,24,4,True
color/Soybean___healthy/95264d3e-f5fd-4172-b7f2-8248aca64fde___RS_HL 5964.JPG,24,Soybean___healthy,color/Soybean___healthy/a81ef3a0-803f-40b5-aa4f-8f8ce70cba16___RS_HL 5963.JPG,24,4,True
color/Soybean___healthy/9898aa61-2804-4b30-a52c-bdf95cbdd013___RS_HL 4912.JPG,24,Soybean___healthy,color/Soybean___healthy/8e7209a0-c837-4b22-9e6a-fa46bc925bec___RS_HL 5730 1.JPG,24,4,True
color/Soybean___healthy/98b10ba1-e214-42ff-855b-4afd617362a0___RS_HL 6380.JPG,24,Soybean___healthy,color/Soybean___healthy/5ae76e98-ab18-48fa-9119-425c7a27ee48___RS_HL 6382.JPG,24,4,True
color/Soybean___healthy/9a20879c-c498-4585-800f-826c2e61c6fe___RS_HL 7001.JPG,24,Soybean___healthy,color/Soybean___healthy/3c845900-ab47-4ee0-81d0-796ab7c42735___RS_HL 6810.JPG,24,4,True
color/Soybean___healthy/9d2cc46f-421b-4813-99e8-bf81f21c15e6___RS_HL 2907.JPG,24,Soybean___healthy,color/Soybean___healthy/f3bb5186-980e-47f6-bc70-202dc51bd0f4___RS_HL 4489.JPG,24,2,True
color/Soybean___healthy/a382f65c-bc40-4723-a553-b5d9c424d268___RS_HL 5276.JPG,24,Soybean___healthy,color/Soybean___healthy/1dea8556-5d2e-4b24-a07d-83c5afae81a8___RS_HL 5464.JPG,24,4,True
color/Soybean___healthy/a3a32405-c5d8-477f-ad36-e56f5d93b514___RS_HL 5690.JPG,24,Soybean___healthy,color/Soybean___healthy/eb8cfd26-bc41-4a4a-ace8-dac9882ad396___RS_HL 5677.JPG,24,4,True
color/Soybean___healthy/a45de092-310e-4c34-b886-67ee31c0df47___RS_HL 4101.JPG,24,Soybean___healthy,color/Soybean___healthy/e6cea06d-3ebb-418d-b7ca-de748a13a5df___RS_HL 3804.JPG,24,4,True
color/Soybean___healthy/a7da66ee-5bb5-4227-a962-61f6bd913005___RS_HL 3771.JPG,24,Soybean___healthy,color/Soybean___healthy/842b41f5-ae0c-4f52-a686-a26d7bb94849___RS_HL 5565 1.JPG,24,4,True
color/Soybean___healthy/a908266b-af75-40a2-9d78-986c9b8f7d70___RS_HL 6139.JPG,24,Soybean___healthy,color/Tomato___Bacterial_spot/42aa518f-8005-40bc-9728-a990743c2d5e___GCREC_Bact.Sp 3151.JPG,28,4,True
color/Soybean___healthy/af9bfdcc-70a3-49c5-a493-741299638380___RS_HL 5654.JPG,24,Soybean___healthy,color/Soybean___healthy/8246ed25-470a-444a-baf8-31965822556b___RS_HL 5653.JPG,24,4,True
color/Soybean___healthy/b0dacbcd-d641-413f-8f7b-0e34d9bae403___RS_HL 5391.JPG,24,Soybean___healthy,color/Soybean___healthy/27a2656d-1dfc-46f0-a4c8-9c706b10e631___RS_HL 4759.JPG,24,4,True
